Country Name,Country Code,Time,Time Code,GNIpc,CO2pc
Albania,ALB,2000,YR2000,4160,0.978174681
Algeria,DZA,2000,YR2000,7610,2.819778007
Antigua and Barbuda,ATG,2000,YR2000,14440,4.439238615
Armenia,ARM,2000,YR2000,2380,1.126529454
Australia,AUS,2000,YR2000,25570,17.20252441
Austria,AUT,2000,YR2000,29270,7.762359194
Azerbaijan,AZE,2000,YR2000,3340,3.666271029
"Bahamas, The",BHS,2000,YR2000,20130,5.600991638
Bahrain,BHR,2000,YR2000,34910,27.95664425
Bangladesh,BGD,2000,YR2000,1350,0.212287044
Barbados,BRB,2000,YR2000,11090,4.403041825
Belarus,BLR,2000,YR2000,5760,5.34418061
Belgium,BEL,2000,YR2000,29000,11.20784724
Belize,BLZ,2000,YR2000,5160,2.7875558
Benin,BEN,2000,YR2000,1300,0.230065879
Bhutan,BTN,2000,YR2000,2850,0.708458366
Bolivia,BOL,2000,YR2000,3400,1.225922572
Bosnia and Herzegovina,BIH,2000,YR2000,4870,3.635213155
Botswana,BWA,2000,YR2000,7710,2.462152312
Brazil,BRA,2000,YR2000,8600,1.865808376
Brunei Darussalam,BRN,2000,YR2000,59250,18.47067348
Bulgaria,BGR,2000,YR2000,6190,5.328034342
Burkina Faso,BFA,2000,YR2000,820,0.089716835
Burundi,BDI,2000,YR2000,570,0.042809203
Cambodia,KHM,2000,YR2000,1050,0.162037088
Cameroon,CMR,2000,YR2000,1780,0.215493084
Canada,CAN,2000,YR2000,28310,17.37045161
Cabo Verde,CPV,2000,YR2000,2940,0.426262203
Central African Republic,CAF,2000,YR2000,650,0.071843143
Chad,TCD,2000,YR2000,780,0.021096635
Chile,CHL,2000,YR2000,9490,3.876961939
China,CHN,2000,YR2000,2880,2.696862433
Colombia,COL,2000,YR2000,6440,1.433620205
Comoros,COM,2000,YR2000,1120,0.153992361
"Congo, Dem. Rep.",ZAR,2000,YR2000,400,0.034266988
"Congo, Rep.",COG,2000,YR2000,2600,0.33730179
Costa Rica,CRI,2000,YR2000,6990,1.394701499
Cote d'Ivoire,CIV,2000,YR2000,2140,0.411145743
Croatia,HRV,2000,YR2000,10850,4.438345911
Cuba,CUB,2000,YR2000,8770,2.346304827
Cyprus,CYP,2000,YR2000,18940,7.261794131
Czech Republic,CZE,2000,YR2000,15990,12.06079797
Denmark,DNK,2000,YR2000,28960,9.613175554
Djibouti,DJI,2000,YR2000,1730,0.502424705
Dominica,DMA,2000,YR2000,5710,1.473557313
Dominican Republic,DOM,2000,YR2000,6100,2.311300988
Ecuador,ECU,2000,YR2000,5400,1.658318708
"Egypt, Arab Rep.",EGY,2000,YR2000,6050,2.068140433
El Salvador,SLV,2000,YR2000,4990,0.988073648
Equatorial Guinea,GNQ,2000,YR2000,5970,0.856491667
Eritrea,ERI,2000,YR2000,1280,0.172190987
Estonia,EST,2000,YR2000,9340,10.86724625
Ethiopia,ETH,2000,YR2000,490,0.087585994
Fiji,FJI,2000,YR2000,5710,1.066799142
Finland,FIN,2000,YR2000,26310,10.12847414
France,FRA,2000,YR2000,26470,5.976826414
Gabon,GAB,2000,YR2000,11730,0.854557841
"Gambia, The",GMB,2000,YR2000,1190,0.223804444
Georgia,GEO,2000,YR2000,2690,1.026657085
Germany,DEU,2000,YR2000,26460,10.09563988
Ghana,GHA,2000,YR2000,1750,0.334072085
Greece,GRC,2000,YR2000,19190,8.391708638
Grenada,GRD,2000,YR2000,7150,1.876441645
Guatemala,GTM,2000,YR2000,4740,0.848306649
Guinea,GIN,2000,YR2000,880,0.145443687
Guinea-Bissau,GNB,2000,YR2000,990,0.111505145
Guyana,GUY,2000,YR2000,3360,2.168922069
Honduras,HND,2000,YR2000,2670,0.805872102
"Hong Kong SAR, China",HKG,2000,YR2000,27180,6.07131958
Hungary,HUN,2000,YR2000,11510,5.465860201
Iceland,ISL,2000,YR2000,28740,7.693782116
India,IND,2000,YR2000,1980,1.126420999
Indonesia,IDN,2000,YR2000,4190,1.245241619
"Iran, Islamic Rep.",IRN,2000,YR2000,9430,5.659871345
Iraq,IRQ,2000,YR2000,9590,3.073001789
Ireland,IRL,2000,YR2000,25820,10.83667002
Israel,ISR,2000,YR2000,22660,9.582362538
Italy,ITA,2000,YR2000,26550,7.912673166
Jamaica,JAM,2000,YR2000,6200,3.985086057
Japan,JPN,2000,YR2000,26270,9.613881066
Jordan,JOR,2000,YR2000,6170,3.232800292
Kazakhstan,KAZ,2000,YR2000,7170,8.584553321
Kenya,KEN,2000,YR2000,1690,0.335350781
Kiribati,KIR,2000,YR2000,2270,0.391003009
"Korea, Rep.",KOR,2000,YR2000,17960,9.52093176
Kuwait,KWT,2000,YR2000,69370,27.75902294
Kyrgyz Republic,KGZ,2000,YR2000,1550,0.924535563
Lao PDR,LAO,2000,YR2000,1780,0.181878534
Latvia,LVA,2000,YR2000,8160,2.636157209
Lebanon,LBN,2000,YR2000,9960,4.724037362
Liberia,LBR,2000,YR2000,540,0.150891365
Lithuania,LTU,2000,YR2000,8570,3.4862076
Luxembourg,LUX,2000,YR2000,45270,18.88551226
"Macao SAR, China",MAC,2000,YR2000,32280,3.786653145
"Macedonia, FYR",MKD,2000,YR2000,6130,5.996085586
Madagascar,MDG,2000,YR2000,1130,0.119012988
Malawi,MWI,2000,YR2000,500,0.080919359
Malaysia,MYS,2000,YR2000,11760,5.405598437
Mali,MLI,2000,YR2000,950,0.074356251
Malta,MLT,2000,YR2000,18570,5.413532514
Marshall Islands,MHL,2000,YR2000,3160,1.476332892
Mauritania,MRT,2000,YR2000,2190,0.432776762
Mauritius,MUS,2000,YR2000,8940,2.267789393
Mexico,MEX,2000,YR2000,10090,3.720588299
"Micronesia, Fed. Sts.",FSM,2000,YR2000,2580,1.26295262
Moldova,MDA,2000,YR2000,1880,0.965214233
Mongolia,MNG,2000,YR2000,3670,3.130987746
Morocco,MAR,2000,YR2000,3460,1.171137629
Mozambique,MOZ,2000,YR2000,420,0.073883946
Namibia,NAM,2000,YR2000,4880,0.865572541
Nepal,NPL,2000,YR2000,1220,0.136237331
Netherlands,NLD,2000,YR2000,32160,10.38308976
New Zealand,NZL,2000,YR2000,20340,8.527531171
Nicaragua,NIC,2000,YR2000,2650,0.748457863
Niger,NER,2000,YR2000,600,0.070892901
Nigeria,NGA,2000,YR2000,1950,0.644398134
Norway,NOR,2000,YR2000,36310,8.624168024
Oman,OMN,2000,YR2000,33930,9.777452741
Pakistan,PAK,2000,YR2000,2740,0.769974452
Palau,PLW,2000,YR2000,9660,6.119954105
Panama,PAN,2000,YR2000,7540,1.911742827
Papua New Guinea,PNG,2000,YR2000,1380,0.496070655
Paraguay,PRY,2000,YR2000,4170,0.695683315
Peru,PER,2000,YR2000,5010,1.169087406
Philippines,PHL,2000,YR2000,3930,0.94065037
Poland,POL,2000,YR2000,10700,7.822510786
Portugal,PRT,2000,YR2000,17510,6.119210997
Romania,ROM,2000,YR2000,5690,4.009474191
Russian Federation,RUS,2000,YR2000,6650,10.62857136
Rwanda,RWA,2000,YR2000,630,0.065826007
Samoa,WSM,2000,YR2000,3430,0.798023068
Saudi Arabia,SAU,2000,YR2000,28080,13.88049437
Senegal,SEN,2000,YR2000,1500,0.399404376
Seychelles,SYC,2000,YR2000,13870,6.87017293
Sierra Leone,SLE,2000,YR2000,790,0.104753135
Singapore,SGP,2000,YR2000,40700,12.16658507
Slovak Republic,SVK,2000,YR2000,11100,6.659329488
Slovenia,SVN,2000,YR2000,17920,7.23840366
