Series Name,Series Code,Country Name,Country Code,2000 [YR2000]
CO2pc,EN.ATM.CO2E.PC,Afghanistan,AFG,0.03964437
CO2pc,EN.ATM.CO2E.PC,Albania,ALB,0.978174681
CO2pc,EN.ATM.CO2E.PC,Algeria,DZA,2.819778007
CO2pc,EN.ATM.CO2E.PC,American Samoa,ASM,..
CO2pc,EN.ATM.CO2E.PC,Andorra,ADO,8.018180706
CO2pc,EN.ATM.CO2E.PC,Angola,AGO,0.633625299
CO2pc,EN.ATM.CO2E.PC,Antigua and Barbuda,ATG,4.439238615
CO2pc,EN.ATM.CO2E.PC,Argentina,ARG,3.806975725
CO2pc,EN.ATM.CO2E.PC,Armenia,ARM,1.126529454
CO2pc,EN.ATM.CO2E.PC,Aruba,ABW,25.5476788
CO2pc,EN.ATM.CO2E.PC,Australia,AUS,17.20252441
CO2pc,EN.ATM.CO2E.PC,Austria,AUT,7.762359194
CO2pc,EN.ATM.CO2E.PC,Azerbaijan,AZE,3.666271029
CO2pc,EN.ATM.CO2E.PC,"Bahamas, The",BHS,5.600991638
CO2pc,EN.ATM.CO2E.PC,Bahrain,BHR,27.95664425
CO2pc,EN.ATM.CO2E.PC,Bangladesh,BGD,0.212287044
CO2pc,EN.ATM.CO2E.PC,Barbados,BRB,4.403041825
CO2pc,EN.ATM.CO2E.PC,Belarus,BLR,5.34418061
CO2pc,EN.ATM.CO2E.PC,Belgium,BEL,11.20784724
CO2pc,EN.ATM.CO2E.PC,Belize,BLZ,2.7875558
CO2pc,EN.ATM.CO2E.PC,Benin,BEN,0.230065879
CO2pc,EN.ATM.CO2E.PC,Bermuda,BMU,8.006161758
CO2pc,EN.ATM.CO2E.PC,Bhutan,BTN,0.708458366
CO2pc,EN.ATM.CO2E.PC,Bolivia,BOL,1.225922572
CO2pc,EN.ATM.CO2E.PC,Bosnia and Herzegovina,BIH,3.635213155
CO2pc,EN.ATM.CO2E.PC,Botswana,BWA,2.462152312
CO2pc,EN.ATM.CO2E.PC,Brazil,BRA,1.865808376
CO2pc,EN.ATM.CO2E.PC,Brunei Darussalam,BRN,18.47067348
CO2pc,EN.ATM.CO2E.PC,Bulgaria,BGR,5.328034342
CO2pc,EN.ATM.CO2E.PC,Burkina Faso,BFA,0.089716835
CO2pc,EN.ATM.CO2E.PC,Burundi,BDI,0.042809203
CO2pc,EN.ATM.CO2E.PC,Cambodia,KHM,0.162037088
CO2pc,EN.ATM.CO2E.PC,Cameroon,CMR,0.215493084
CO2pc,EN.ATM.CO2E.PC,Canada,CAN,17.37045161
CO2pc,EN.ATM.CO2E.PC,Cabo Verde,CPV,0.426262203
CO2pc,EN.ATM.CO2E.PC,Cayman Islands,CYM,10.9081924
CO2pc,EN.ATM.CO2E.PC,Central African Republic,CAF,0.071843143
CO2pc,EN.ATM.CO2E.PC,Chad,TCD,0.021096635
CO2pc,EN.ATM.CO2E.PC,Channel Islands,CHI,..
CO2pc,EN.ATM.CO2E.PC,Chile,CHL,3.876961939
CO2pc,EN.ATM.CO2E.PC,China,CHN,2.696862433
CO2pc,EN.ATM.CO2E.PC,Colombia,COL,1.433620205
CO2pc,EN.ATM.CO2E.PC,Comoros,COM,0.153992361
CO2pc,EN.ATM.CO2E.PC,"Congo, Dem. Rep.",ZAR,0.034266988
CO2pc,EN.ATM.CO2E.PC,"Congo, Rep.",COG,0.33730179
CO2pc,EN.ATM.CO2E.PC,Costa Rica,CRI,1.394701499
CO2pc,EN.ATM.CO2E.PC,Cote d'Ivoire,CIV,0.411145743
CO2pc,EN.ATM.CO2E.PC,Croatia,HRV,4.438345911
CO2pc,EN.ATM.CO2E.PC,Cuba,CUB,2.346304827
CO2pc,EN.ATM.CO2E.PC,Curacao,CUW,..
CO2pc,EN.ATM.CO2E.PC,Cyprus,CYP,7.261794131
CO2pc,EN.ATM.CO2E.PC,Czech Republic,CZE,12.06079797
CO2pc,EN.ATM.CO2E.PC,Denmark,DNK,9.613175554
CO2pc,EN.ATM.CO2E.PC,Djibouti,DJI,0.502424705
CO2pc,EN.ATM.CO2E.PC,Dominica,DMA,1.473557313
